recipe_id,recipe_name,ingredients,calorie,protein,fat,carbohydrate,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b6,vitamin_b12,niacin,folic_acid,vitamin_c,biotin,total_choline,sodium,potassium,magnesium,iron,zinc,calcium,phosphorus,selenium,iodine,copper,manganese
8604,芹菜干煸肉丝,"芹菜：100g猪肉：60g豆油：3g精盐：0.5g酱油：1g, 芹菜：100g, 猪肉：60g, 豆油：3g, 精盐：0.5g, 酱油：1g",127 kcal,12.64 g,6.92 g,4.10 g,28.40 μg RAE,,2.99 mg α-TE,,0.33 mg,0.08 mg,0.06 mg,0.00 μg,3.42 mg,33.46 μg,2.00 mg,1.10 μg,,455.18 mg,314.53 mg,32.66 mg,2.16 mg,1.97 mg,19.76 mg,128.65 mg,5.79 μg,1.16 μg,0.10 mg,0.08 mg
8605,芹菜虾仁,"芹菜：50g虾仁：35g豆油：3g精盐：0.5g绵白糖：1g胡椒粉：1g, 芹菜：50g, 虾仁：35g, 豆油：3g, 精盐：0.5g, 绵白糖：1g, 胡椒粉：1g",111 kcal,7.58 g,3.33 g,13.01 g,1.10 μg RAE,,2.79 mg α-TE,,0.01 mg,0.01 mg,0.03 mg,0.00 μg,0.13 mg,14.30 μg,1.00 mg,0.73 μg,20.79 mg,375.39 mg,171.07 mg,9.40 mg,0.40 mg,0.56 mg,36.43 mg,8.46 mg,0.13 μg,0.08 μg,0.02 mg,0.04 mg
8606,炒香菜,"芹菜：150g豆油：3g精盐：0.5g酱油：1g花椒：2g, 芹菜：150g, 豆油：3g, 精盐：0.5g, 酱油：1g, 花椒：2g",53 kcal,0.79 g,3.48 g,6.08 g,3.46 μg RAE,,2.84 mg α-TE,,0.02 mg,0.04 mg,0.09 mg,0.00 μg,0.38 mg,42.90 μg,3.00 mg,1.65 μg,,504.83 mg,199.61 mg,27.88 mg,0.63 mg,0.29 mg,36.44 mg,23.13 mg,0.17 μg,0.29 μg,0.07 mg,0.15 mg
8607,香干炒芹菜叶,"芹菜叶：50g豆腐干：50g豆油：5g精盐：0.5g, 芹菜叶：50g, 豆腐干：50g, 豆油：5g, 精盐：0.5g",161 kcal,8.75 g,10.95 g,7.75 g,123.00 μg RAE,,12.40 mg α-TE,,0.05 mg,0.11 mg,,,0.65 mg,27.10 μg,11.00 mg,3.30 μg,6.10 mg,402.81 mg,137.22 mg,63.66 mg,3.96 mg,1.54 mg,244.26 mg,119.35 mg,4.57 μg,25.10 μg,0.72 mg,0.83 mg
8608,芹菜煸鱿鱼,"芹菜：100g鱿鱼：90g豆油：3g精盐：0.5g鸡精：0.5g, 芹菜：100g, 鱿鱼：90g, 豆油：3g, 精盐：0.5g, 鸡精：0.5g",109 kcal,15.75 g,3.93 g,3.26 g,16.40 μg RAE,,3.64 mg α-TE,,0.01 mg,0.05 mg,0.06 mg,0.00 μg,0.22 mg,28.66 μg,2.00 mg,1.10 μg,,578.66 mg,143.00 mg,71.01 mg,0.73 mg,1.39 mg,54.24 mg,67.54 mg,12.38 μg,0.13 μg,0.21 mg,0.10 mg
8609,芹菜小炒肉,"芹菜：100g猪肉：60g豆油：3g精盐：0.5g鸡精：0.5g黄酒：2g生抽：1g蚝油：1g甘薯粉：2g辣椒：2g, 芹菜：100g, 猪肉：60g, 豆油：3g, 精盐：0.5g, 鸡精：0.5g, 黄酒：2g, 生抽：1g, 蚝油：1g, 甘薯粉：2g, 辣椒：2g",137 kcal,12.82 g,6.94 g,6.11 g,30.76 μg RAE,0.00 μg,3.00 mg α-TE,0.00 μg,0.33 mg,0.08 mg,0.06 mg,0.00 μg,3.44 mg,35.12 μg,4.88 mg,1.13 μg,,600.12 mg,321.30 mg,34.06 mg,2.35 mg,1.99 mg,21.52 mg,130.09 mg,5.90 μg,1.28 μg,0.10 mg,0.09 mg
8610,拌芹菜叶,"芹菜叶：150g精盐：0.5g醋：2g芝麻油：1g鸡精：0.5g生抽：1g, 芹菜叶：150g, 精盐：0.5g, 醋：2g, 芝麻油：1g, 鸡精：0.5g, 生抽：1g",64 kcal,4.04 g,1.92 g,9.11 g,366.00 μg RAE,,4.44 mg α-TE,,0.12 mg,0.23 mg,,,1.39 mg,0.27 μg,33.00 mg,0.03 μg,,484.48 mg,216.45 mg,87.60 mg,1.09 mg,1.74 mg,60.74 mg,98.88 mg,3.08 μg,6.18 μg,1.49 mg,0.88 mg
8611,芹菜豆干,"芹菜：100g豆腐干：50g豆油：3g精盐：0.5g, 芹菜：100g, 豆腐干：50g, 豆油：3g, 精盐：0.5g",139 kcal,7.85 g,8.85 g,7.90 g,3.00 μg RAE,,9.29 mg α-TE,,0.02 mg,0.05 mg,0.06 mg,0.00 μg,0.42 mg,55.70 μg,2.00 mg,4.40 μg,6.10 mg,527.61 mg,196.66 mg,50.60 mg,3.82 mg,1.09 mg,239.00 mg,100.21 mg,3.64 μg,23.10 μg,0.24 mg,0.59 mg
8612,白灼香芹,"芹菜：150g豆油：3g精盐：0.5g鸡精：0.5g, 芹菜：150g, 豆油：3g, 精盐：0.5g, 鸡精：0.5g",47 kcal,0.65 g,3.31 g,4.81 g,3.00 μg RAE,,2.79 mg α-TE,,0.02 mg,0.03 mg,0.09 mg,0.00 μg,0.33 mg,42.96 μg,3.00 mg,1.65 μg,,540.63 mg,192.60 mg,24.11 mg,0.38 mg,0.24 mg,23.04 mg,20.04 mg,0.13 μg,0.13 μg,0.05 mg,0.07 mg
8613,姜汁炒芹菜,"芹菜：150g豆油：3g精盐：0.5g鸡精：0.5g生抽：1g白砂糖：1g醋：2g姜：2g, 芹菜：150g, 豆油：3g, 精盐：0.5g, 鸡精：0.5g, 生抽：1g, 白砂糖：1g, 醋：2g, 姜：2g",52 kcal,0.75 g,3.33 g,5.98 g,3.00 μg RAE,,2.79 mg α-TE,,0.02 mg,0.03 mg,0.09 mg,0.00 μg,0.38 mg,43.24 μg,3.04 mg,1.68 μg,,609.76 mg,206.29 mg,25.17 mg,0.56 mg,0.27 mg,23.92 mg,22.85 mg,0.19 μg,0.27 μg,0.05 mg,0.20 mg
